Date,USD_KRW,Gold,US10Y,DXY,KOSPI,SP500
2021-06-21,1134.25,1781.8,1.484,91.86,3240.79,4224.79
2021-06-22,1130.34,1776.3,1.472,91.73,3263.8799,4246.4399
2021-06-23,1132.51,1782.3,1.487,91.8,3276.1899,4241.8398
2021-06-24,1132.61,1775.6,1.487,91.82,3286.1001,4266.4902
2021-06-25,1130.8,1776.6,1.536,91.81,3302.8401,4280.7002
2021-06-28,1125.34,1779.6,1.478,91.88,3301.8899,4290.6099
2021-06-29,1129.04,1762.8,1.48,92.05,3286.6799,4291.7998
2021-06-30,1130.51,1770.8,1.443,92.44,3296.6799,4297.5
2021-07-01,1129.6,1775.9,1.48,92.6,3282.0601,4319.9399
2021-07-02,1132.41,1782.6,1.431,92.23,3281.78,4352.3398
2021-07-05,1129.77,1782.6,1.431,92.23,3293.21,4352.3398
2021-07-06,1129.4399,1793.5,1.37,92.55,3305.21,4343.54
2021-07-07,1135.48,1801.5,1.321,92.64,3285.3401,4358.1299
2021-07-08,1140.52,1799.6,1.288,92.36,3252.6799,4320.8198
2021-07-09,1146.28,1810.0,1.356,92.13,3217.95,4369.5498
2021-07-12,1144.3101,1805.5,1.363,92.23,3246.47,4384.6299
2021-07-13,1141.1,1809.4,1.415,92.75,3271.3799,4369.21
2021-07-14,1148.7,1824.3,1.356,92.41,3264.8101,4374.2998
2021-07-15,1143.41,1828.4,1.297,92.62,3286.22,4360.0298
2021-07-16,1140.12,1814.5,1.3,92.69,3276.9099,4327.1602
2021-07-19,1141.5,1808.7,1.181,92.89,3244.04,4258.4902
2021-07-20,1150.0699,1810.9,1.209,92.97,3232.7,4323.0601
2021-07-21,1147.48,1802.9,1.28,92.75,3215.9099,4358.6899
2021-07-22,1148.6899,1805.0,1.265,92.82,3250.21,4367.48
2021-07-23,1149.91,1801.4,1.286,92.91,3254.4199,4411.79
2021-07-26,1151.12,1798.7,1.276,92.65,3224.95,4422.2998
2021-07-27,1151.76,1799.5,1.234,92.43,3232.53,4401.46
2021-07-28,1153.5601,1799.5,1.261,92.32,3236.8601,4400.6401
2021-07-29,1149.41,1831.2,1.269,91.86,3242.6499,4419.1499
2021-07-30,1142.12,1812.6,1.239,92.17,3202.3201,4395.2598
2021-08-02,1150.9301,1818.1,1.174,92.05,3223.04,4387.1602
2021-08-03,1149.5601,1810.1,1.176,92.08,3237.1399,4423.1499
